market_id,symbol,question,polarity,polarity_source,pct,converged,asset_confidence,question_confidence,archetype,relevance,split,entry_date,entry_prob,entry_price,exit_date,exit_price,exit_reason,peak_pct,trough_pct,return_pct,_entry_ts,_exit_ts,candidate_t_theta,candidate_t_e,_qty,_position_size_pct,_asset_entry_notional,_equity_at_entry,invested_frac_pct,_benchmark_sell_cost,_asset_buy_cost,realized_exit_reason,gross_pnl,pnl,pnl_pct,txn_cost,exit_value,benchmark_rebuy_qty
1114909,TSM,Will Taiwan Semiconductor (TSM) beat quarterly earnings?,1,llm,0.94,YES,7.0,7.0,Taiwan Semiconductor Earnings,1.0,test,2026-01-05,0.94,322.25,2026-01-07,331.92,profit_lock_3%,3.36,-1.15,3.0,2026-01-05 00:00:00+00:00,2026-01-07 00:00:00+00:00,2026-01-05,2026-01-15,33,0.10623478074470787,10634.25,100650.06,10.5656,5.86,5.67,profit_lock_3%,319.11,295.63,2.78,23.48,10953.36,17.5337
1099457,MTB,Will M&T Bank (MTB) beat quarterly earnings?,1,llm,0.85,YES,6.0,6.0,M&T Bank Earnings,1.0,test,2026-01-05,0.85,209.45,2026-01-09,213.64,profit_lock_2%,2.88,-2.69,2.0,2026-01-05 00:00:00+00:00,2026-01-09 00:00:00+00:00,2026-01-04,2026-01-16,51,0.10623478074470787,10681.95,100731.68,10.6044,5.97,5.69,profit_lock_2%,213.69,190.14,1.78,23.55,10895.64,17.3681
1099182,PNC,Will PNC Financial Services (PNC) beat quarterly earnings?,1,llm,0.9,YES,6.0,6.0,PNC Financial Services Earnings,1.0,test,2026-01-05,0.9,215.8,2026-01-09,220.12,profit_lock_2%,2.2,-1.88,2.0,2026-01-05 00:00:00+00:00,2026-01-09 00:00:00+00:00,2026-01-04,2026-01-16,49,0.10623478074470787,10574.2,100720.03,10.4986,5.99,5.64,profit_lock_2%,211.68,188.27,1.7805,23.41,10785.88,17.1932
1099148,C,Will Citigroup (C) beat quarterly earnings?,1,llm,0.945,NO,6.0,6.0,Citigroup Earnings,1.0,test,2026-01-05,0.945,123.3,2026-01-09,121.32,poly<0.5457418105663847,0.71,-3.24,-1.61,2026-01-05 00:00:00+00:00,2026-01-09 00:00:00+00:00,2026-01-04,2026-01-14,86,0.10623478074470787,10603.8,100708.4,10.5292,5.94,5.65,poly<0.5457418105663847,-170.28,-193.29,-1.8228,23.01,10433.52,16.6315
1118342,KEY,Will KeyCorp (KEY) beat quarterly earnings?,1,llm,0.705,YES,6.0,6.0,KeyCorp Earnings,1.0,test,2026-01-07,0.705,21.3,2026-01-09,21.73,profit_lock_2%,2.11,-0.52,2.0,2026-01-07 00:00:00+00:00,2026-01-09 00:00:00+00:00,2026-01-06,2026-01-20,498,0.10623478074470787,10607.4,100047.91,10.6023,5.93,7.05,profit_lock_2%,214.14,187.95,1.7719,26.19,10821.54,17.2478
1099187,STT,Will State Street (STT) beat quarterly earnings?,1,llm,0.91,NO,6.0,6.0,State Street Earnings,1.0,test,2026-01-05,0.91,133.01,2026-01-12,133.09,poly<0.5457418105663847,1.17,-3.34,0.06,2026-01-05 00:00:00+00:00,2026-01-12 00:00:00+00:00,2026-01-04,2026-01-16,80,0.10623478074470787,10640.8,100684.88,10.5684,5.97,5.67,poly<0.5457418105663847,6.4,-16.88,-0.1586,23.28,10647.2,16.958
1139906,COF,Will Capital One (COF) beat quarterly earnings?,1,llm,0.775,YES,6.0,6.0,Capital One Earnings,0.96,test,2026-01-09,0.775,249.2,2026-01-12,230.75,trailing_4.0ATR,0.0,-8.23,-7.41,2026-01-09 00:00:00+00:00,2026-01-12 00:00:00+00:00,2026-01-09,2026-01-22,42,0.10623478074470787,10466.4,100804.45,10.3829,5.99,5.58,trailing_4.0ATR,-774.9,-797.13,-7.616,22.23,9691.5,15.4358
1099134,BAC,Will Bank of America (BAC) beat quarterly earnings?,1,llm,0.93,YES,7.0,7.0,Bank of America Earnings,1.0,test,2026-01-05,0.93,56.89,2026-01-13,54.54,resolution-1d,0.91,-4.55,-4.13,2026-01-05 00:00:00+00:00,2026-01-13 00:00:00+00:00,2026-01-04,2026-01-14,187,0.10623478074470787,10638.43,100696.81,10.5648,5.95,5.97,resolution-1d,-439.45,-462.85,-4.3507,23.4,10198.98,16.2677
1099135,WFC,Will Wells Fargo & Co (WFC) beat quarterly earnings?,1,llm,0.925,NO,7.0,7.0,Wells Fargo Earnings,1.0,test,2026-01-05,0.925,96.38,2026-01-13,93.56,poly<0.5457418105663847,0.2,-3.44,-2.93,2026-01-05 00:00:00+00:00,2026-01-13 00:00:00+00:00,2026-01-04,2026-01-14,110,0.10623478074470787,10601.8,100673.24,10.5309,5.97,5.69,poly<0.5457418105663847,-310.2,-333.17,-3.1426,22.97,10291.6,16.4159
1099149,MS,Will Morgan Stanley (MS) beat quarterly earnings?,1,llm,0.905,YES,7.0,7.0,Morgan Stanley Earnings,1.0,test,2026-01-05,0.905,186.54,2026-01-14,180.78,resolution-1d,1.22,-4.08,-3.09,2026-01-05 00:00:00+00:00,2026-01-14 00:00:00+00:00,2026-01-04,2026-01-15,57,0.10623478074470787,10632.78,100743.35,10.5543,6.0,5.67,resolution-1d,-328.32,-351.28,-3.3037,22.96,10304.46,16.614
